cow_id,scan_number,day,conductivity_raw_mScm,temperature_C,conductivity_temp_adjusted_mScm,milk_pH,somatic_cell_count,milk_yield_L,clotting,as7343_F1,as7343_F2,as7343_FZ,as7343_F3,as7343_F4,as7343_F5,as7343_FY,as7343_FXL,as7343_F6,as7343_F7,as7343_F8,as7343_NIR,as7343_VIS,as7343_FD,conductivity_deviation,risk_label
C0001,1,3,4.73,35.37,4.742,6.485,153,18.06,0,1210,916,2684,2170,2843,3250,4202,4507,4237,4150,3742,2410,17931,1357,0.053,Healthy
C0001,2,6,4.838,35.44,4.844,6.481,144,17.57,0,1242,946,2607,2253,2923,3224,4502,4590,4312,4066,3648,2687,19339,1471,0.155,Healthy
C0001,3,9,4.704,35.23,4.728,6.47,134,17.02,0,1287,953,2743,2223,2864,3226,4251,4695,4372,4024,3487,2482,18705,1347,0.039,Healthy
C0001,4,12,4.589,35.27,4.609,6.491,159,17.19,0,1245,951,2555,2012,2921,3280,4278,4756,4562,4047,3556,2632,19479,1391,-0.08,Healthy
C0001,5,15,4.626,35.39,4.636,6.478,138,17.49,0,1131,849,2432,2018,2611,3142,4182,4765,4474,3748,3447,2516,17907,1359,-0.053,Healthy
C0001,6,18,4.62,35.53,4.617,6.506,147,16.77,0,1198,906,2648,2072,2856,3293,4283,4276,4363,3773,3676,2300,18617,1421,-0.072,Healthy
C0002,1,3,5.061,35.52,5.059,6.475,90,20.5,0,1021,825,2185,1839,2726,2883,3905,4221,3971,3619,3009,2129,16268,1255,0.37,Healthy
C0002,2,6,5.028,35.66,5.013,6.451,89,20.04,0,1092,818,2437,1827,2639,2901,3892,4374,4048,3789,3306,2228,17631,1316,0.324,Healthy
C0002,3,9,5.074,35.54,5.07,6.446,103,20.21,0,1079,839,2314,1995,2715,2859,3973,4590,4428,3993,3527,2358,17873,1348,0.381,Healthy
C0002,4,12,5.143,35.75,5.119,6.467,94,20.25,0,1124,819,2544,1961,2849,3157,4025,4471,4361,3700,3305,2391,18451,1398,0.43,Healthy
C0002,5,15,4.992,35.67,4.976,6.476,92,19.8,0,1050,842,2419,1944,2546,2982,3808,4359,4084,3775,3297,2237,16995,1220,0.287,Healthy
C0002,6,18,5.033,35.76,5.008,6.467,103,20.08,0,997,855,2435,1948,2694,2955,4007,4329,4140,3827,3201,2342,17550,1271,0.319,Healthy
C0004,1,3,4.506,36.21,4.445,6.691,80,23.49,0,1223,914,2529,2026,2529,3165,3831,4439,4229,4110,3426,2113,18386,1391,-0.244,Healthy
C0004,2,6,4.461,36.24,4.398,6.713,95,22.92,0,1207,942,2585,2000,2767,3283,4194,4915,4292,4035,3492,2358,17969,1289,-0.291,Healthy
C0004,3,9,4.559,36.15,4.503,6.702,107,22.8,0,1290,971,2681,2265,3025,3260,4208,4490,4658,4238,3555,2284,19704,1433,-0.186,Healthy
C0004,4,12,4.381,36.17,4.325,6.659,96,23.25,0,1159,835,2517,2035,2701,3114,4032,4544,4170,3974,3347,2169,17818,1287,-0.364,Healthy
C0004,5,15,4.374,36.26,4.311,6.674,88,24.27,0,1079,805,2518,1852,2669,2928,3741,4409,4047,3852,3113,2222,18009,1245,-0.378,Healthy
C0004,6,18,4.561,36.12,4.507,6.658,97,24.15,0,1245,911,2696,2006,2605,3240,4319,4741,4344,4126,3106,2230,18908,1511,-0.182,Healthy
C0005,1,3,5.026,35.52,5.024,6.57,132,23.24,0,1216,911,2411,2012,2815,3396,4243,4634,4339,4079,3733,2517,18336,1395,0.335,Healthy
C0005,2,6,5.025,35.49,5.026,6.566,136,24.02,0,1217,888,2545,2093,2992,3208,4471,4870,4515,4009,3569,2451,19475,1458,0.337,Healthy
C0005,3,9,5.187,35.5,5.187,6.541,132,24.23,0,1181,951,2562,2137,2848,3178,4326,4645,4441,4109,3721,2588,19374,1456,0.498,Healthy
C0005,4,12,5.116,35.39,5.127,6.576,149,24.11,0,1235,873,2512,2172,2841,3517,4129,4700,4581,4078,3872,2584,19225,1472,0.438,Healthy
C0005,5,15,4.975,35.4,4.984,6.558,134,23.49,0,1237,861,2587,2143,3061,3587,4302,4826,4644,3867,3527,2555,19119,1409,0.295,Healthy
C0005,6,18,5.028,35.53,5.025,6.555,142,24.63,0,1266,877,2608,2093,3001,3413,4290,4915,4278,3905,3808,2653,19547,1464,0.336,Healthy
C0006,1,3,4.693,35.99,4.649,6.696,99,22.84,0,1118,791,2385,2006,2661,3210,4099,4708,4411,3683,3446,2296,17690,1300,-0.04,Healthy
C0006,2,6,4.677,36.05,4.628,6.691,101,21.84,0,1047,798,2269,1872,2685,3005,4171,4598,4267,4099,2999,2223,18246,1346,-0.061,Healthy
C0006,3,9,4.651,35.96,4.61,6.682,109,22.79,0,1011,783,2225,1868,2610,3104,4254,4471,4255,4107,3363,2303,16930,1212,-0.079,Healthy
C0006,4,12,4.636,35.97,4.595,6.722,110,22.88,0,1037,732,2393,1841,2626,3041,3883,4407,4236,3966,3409,2251,17502,1322,-0.094,Healthy
C0006,5,15,4.492,35.98,4.451,6.71,112,22.86,0,1073,822,2371,1835,2737,3076,3856,4757,4246,3915,3265,2152,17588,1293,-0.238,Healthy
