cow_id,scan_number,day,conductivity_raw_mScm,temperature_C,conductivity_temp_adjusted_mScm,milk_pH,somatic_cell_count,milk_yield_L,clotting,as7343_F1,as7343_F2,as7343_FZ,as7343_F3,as7343_F4,as7343_F5,as7343_FY,as7343_FXL,as7343_F6,as7343_F7,as7343_F8,as7343_NIR,as7343_VIS,as7343_FD,conductivity_deviation,prev_risk_score,risk_moving_avg_3scan,risk_slope,risk_score,risk_label,split
C0184,6,18,4.248,35.53,4.246,6.706,167,16.43,0,1151,974,2825,2092,2796,3350,4399,4891,4471,4791,4289,2914,20096,1493,-0.443,7.67,7.46,-2.06,5.61,Healthy,train
C0384,1,3,4.959,35.13,4.994,6.811,150,18.91,0,1295,980,2829,2367,3263,4000,4729,4902,4843,4191,3689,2433,20488,1467,0.305,13.17,12.89,-0.86,12.31,Healthy,train
C0497,4,12,5.594,35.23,5.623,6.633,120,20.55,0,1190,936,2698,1995,3189,3367,4488,4547,4097,4132,3766,2608,19437,1400,0.934,17.57,18.01,-1.04,16.53,Healthy,train
C0784,5,15,7.046131751612945,37.93,6.720995599129461,7.203182596113479,755,7.522732829381994,0,1807,1403,4014,3155,4338,4567,5767,6897,6428,6037,5725,3981,27974,1872,2.031995599129461,73.50495721375864,71.33517109494804,16.317515280800485,89.82247249455912,Clinical,train
C0144,4,12,5.507,36.66,5.386,6.906,303,11.71,0,1495,1152,3324,2571,3735,4201,5266,5512,5189,5062,4289,2930,23381,1610,0.697,22.04,21.23,8.92,30.96,Subclinical,train
C0453,2,6,4.86,35.05,4.902,6.606,123,28.25,0,1046,811,2296,1765,2930,3236,4156,4506,4223,3672,3359,2417,17504,1304,0.213,13.54,11.88,-3.22,10.31,Healthy,train
C0106,1,3,5.267,36.56,5.161,6.801,291,17.11,0,1541,1176,3456,2706,3792,4069,5360,5939,5654,4951,5092,3421,24405,1700,0.472,18.47,21.36,12.91,31.38,Subclinical,train
C0402,2,6,6.793844256154466,37.98155743845535,6.473046980616789,7.049740426924108,536,7.769097930812587,1,1949,1383,4000,3147,4954,5511,6699,7498,6406,5657,6399,4193,28992,1838,1.784046980616789,66.74943151386434,63.949270620756224,16.10823232845266,82.85766384231698,Clinical,train
C0785,6,18,4.035,35.72,4.018,6.617,162,20.72,0,1295,882,2516,2032,2767,3091,3860,4617,4156,4131,3486,2297,18350,1328,-0.671,7.47,9.04,3.66,11.13,Healthy,train
C0390,6,18,7.618388787177465,37.0959194253496,7.387194393588732,6.932907170080751,580,12.32574447015963,1,1993,1718,4404,3173,4479,5347,6660,7714,7528,6861,6011,4096,30975,1984,2.6981943935887323,77.70367770139842,69.84919425349608,11.392083956076368,89.0957616574748,Clinical,train
